Country,child_mort,life_expec
Afghanistan,90.2,56.2
Albania,16.6,76.3
Algeria,27.3,76.5
Angola,119,60.1
Antigua and Barbuda,10.3,76.8
Argentina,14.5,75.8
Armenia,18.1,73.3
Australia,4.8,82
Austria,4.3,80.5
Azerbaijan,39.2,69.1
Bahamas,13.8,73.8
Bahrain,8.6,76
Bangladesh,49.4,70.4
Barbados,14.2,76.7
Belarus,5.5,70.4
Belgium,4.5,80
Belize,18.8,71.4
Benin,111,61.8
Bhutan,42.7,72.1
Bolivia,46.6,71.6
Bosnia and Herzegovina,6.9,76.8
Botswana,52.5,57.1
Brazil,19.8,74.2
Brunei,10.5,77.1
Bulgaria,10.8,73.9
Burkina Faso,116,57.9
Burundi,93.6,57.7
Cambodia,44.4,66.1
Cameroon,108,57.3
Canada,5.6,81.3
Cape Verde,26.5,72.5
Central African Republic,149,47.5
Chad,150,56.5
Chile,8.7,79.1
China,15.7,74.6
Colombia,18.6,76.4
Comoros,88.2,65.9
"Congo, Dem. Rep.",116,57.5
"Congo, Rep.",63.9,60.4
Costa Rica,10.2,80.4
Cote d'Ivoire,111,56.3
Croatia,5.5,76.3
Cyprus,3.6,79.9
Czech Republic,3.4,77.5
Denmark,4.1,79.5
Dominican Republic,34.4,74.6
Ecuador,25.1,76.7
Egypt,29.1,70.5
El Salvador,19.2,74.1
Equatorial Guinea,111,60.9
Eritrea,55.2,61.7
Estonia,4.5,76
Fiji,24.1,65.3
Finland,3,80
France,4.2,81.4
Gabon,63.7,62.9
Gambia,80.3,65.5
Georgia,16.5,72.8
Germany,4.2,80.1
Ghana,74.7,62.2
Greece,3.9,80.4
Grenada,14.6,71.3
Guatemala,35.4,71.3
Guinea,109,58
Guinea-Bissau,114,55.6
Guyana,37.6,65.5
Haiti,208,32.1
Hungary,6,74.5
Iceland,2.6,82
India,58.8,66.2
Indonesia,33.3,69.9
Iran,19.3,74.5
Iraq,36.9,67.2
Ireland,4.2,80.4
Israel,4.6,81.4
Italy,4,81.7
Jamaica,18.1,74.7
Japan,3.2,82.8
Jordan,21.1,75.8
Kazakhstan,21.5,68.4
Kenya,62.2,62.8
Kiribati,62.7,60.7
Kuwait,10.8,78.2
Kyrgyz Republic,29.6,68.5
Lao,78.9,63.8
Latvia,7.8,73.1
Lebanon,10.3,79.8
Lesotho,99.7,46.5
Liberia,89.3,60.8
Libya,16.6,76.1
Lithuania,6.1,73.2
Luxembourg,2.8,81.3
"Macedonia, FYR",10.4,74
Madagascar,62.2,60.8
Malawi,90.5,53.1
Malaysia,7.9,74.5
Maldives,13.2,77.9
Mali,137,59.5
Malta,6.8,80.3
Mauritania,97.4,68.2
Mauritius,15,73.4
"Micronesia, Fed. Sts.",40,65.4
Moldova,17.2,69.7
Mongolia,26.1,66.2
Montenegro,6.8,76.4
Morocco,33.5,73.5
Mozambique,101,54.5
Myanmar,64.4,66.8
Namibia,56,58.6
Nepal,47,68.3
Netherlands,4.5,80.7
New Zealand,6.2,80.9
Niger,123,58.8
Nigeria,130,60.5
Norway,3.2,81
Oman,11.7,76.1
Pakistan,92.1,65.3
Panama,19.7,77.8
Paraguay,24.1,74.1
Peru,20.3,77.9
Philippines,31.9,69
Poland,6,76.3
Portugal,3.9,79.8
Qatar,9,79.5
Romania,11.5,73.7
Russia,10,69.2
Rwanda,63.6,64.6
Samoa,18.9,71.5
Saudi Arabia,15.7,75.1
Senegal,66.8,64
Serbia,7.6,74.7
Seychelles,14.4,73.4
Sierra Leone,160,55
Singapore,2.8,82.7
Slovak Republic,7,75.5
Slovenia,3.2,79.5
Solomon Islands,28.1,61.7
South Africa,53.7,54.3
South Korea,4.1,80.1
Spain,3.8,81.9
Sri Lanka,11.2,74.4
St. Vincent and the Grenadines,20.7,71.6
Sudan,76.7,66.3
Suriname,24.1,70.3
Sweden,3,81.5
Switzerland,4.5,82.2
Tajikistan,52.4,69.6
Tanzania,71.9,59.3
Thailand,14.9,76.6
Timor-Leste,62.6,71.1
Togo,90.3,58.7
Tonga,17.4,69.9
Tunisia,17.4,76.9
Turkey,19.1,78.2
Turkmenistan,62,67.9
Uganda,81,56.8
Ukraine,11.7,70.4
United Arab Emirates,8.6,76.5
United Kingdom,5.2,80.3
United States,7.3,78.7
Uruguay,10.6,76.4
Uzbekistan,36.3,68.8
Vanuatu,29.2,63
Venezuela,17.1,75.4
Vietnam,23.3,73.1
Yemen,56.3,67.5
Zambia,83.1,52